paper:title,paper:doi,paper:research_field,orkg:P56036,orkg:P56037,orkg:P56038,orkg:P56039,orkg:P56040,orkg:P56041,orkg:P56042,orkg:P56043,orkg:P56044,orkg:P56045,orkg:P56046,orkg:P56047,orkg:P56048,orkg:P56049,orkg:P15608
Graf_2001_PsychiatryRes_11472859.pdf,10.1016/s0925-4927(01)00083-x,R61,orkg:R414496,20,orkg:R414502,,,,,,65,orkg:R414515,orkg:R414530,orkg:R414559,75,orkg:R414569,coil_sit: outer diameter
Jing_2001_ClinNeurophysiol_11165534.pdf,10.1016/s1388-2457(00)00540-x,R61,orkg:R414496,10,orkg:R414502,,,,,,,orkg:R414517,,orkg:R414559,,,
Jing_2001_JNeurol_11355151.pdf,10.1007/s004150170224,R61,orkg:R414496,10,orkg:R414502,,,,,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Loo_2001_BiolPsychiatry_11297719.pdf,10.1016/s0006-3223(00)00996-3,R61,orkg:R414496,10,orkg:R414501,,,,,,,orkg:R414517,,orkg:R414559,70,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,5,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,experiment: 1;
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,10,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,20,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,5,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,10,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,20,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,5,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,10,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,20,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,
Modugno_2001_ExpBrainRes_11685398.pdf,10.1007/s002210100843,R61,orkg:R414496,5,orkg:R414501,,orkg:R414513,50,5_10,,,orkg:R414517,orkg:R414531,orkg:R414559,,,experiment: 2; multiple pulse numbers
Niehaus_2001_JNeurolSci_11137517.pdf,10.1016/s0022-510x(00)00462-7,R61,orkg:R414496,10,orkg:R414502,,orkg:R414514,,,,,orkg:R414516,orkg:R414529,orkg:R414560,120,,experiment: 1; coil_siz: outer diameter; pulse per train: 2 and 5; multiple sites
